LocID,MAPE_2019,MAPE_2020,MAPE_avg
762,0.1406436974476779,0.2862696438157564,0.21345667063171714
1589,0.07865925047172324,0.20638117136985487,0.14252021092078906
663,1.3407884727176893,2.737310042349216,2.0390492575334527
1106,0.015512145656569836,0.021163363614894314,0.018337754635732076
64,0.06675450761051127,0.14702599953512052,0.1068902535728159
120,0.2122365338159155,0.44999256495213075,0.3311145493840231
300,0.019555439584784066,0.09357060779290287,0.056563023688843465
184,0.3713107262348831,0.8672096968831198,0.6192602115590015
666,3.696573635696865,3.68164377700181,3.6891087063493373
905,0.07758142112049637,0.3406103831745863,0.20909590214754134
2041,0.044932195285477344,0.15549013850565357,0.10021116689556545
98420,0.04501309489639227,0.07314929140231854,0.05908119314935541
270,0.17567687866473605,0.14735233739285078,0.16151460802879342
1638,0.10309455518778837,0.22617462122299625,0.1646345882053923
364,0.46341276559101785,1.4039046316463073,0.9336586986186626
344,0.13204838198337354,0.3950538092934312,0.2635510956384024
2096,0.015320182337473847,0.12942963088445122,0.07237490661096253
2030,0.008363645981937024,0.09617396601321289,0.052268805997574955
1511,0.021559772752790224,0.13916679446277663,0.08036328360778343
831,0.38059845986080254,0.7423110010821546,0.5614547304714785
98407,0.035522956362961794,0.015040548104530062,0.025281752233745926
124,0.2203308912573893,0.1687248383126363,0.1945278647850128
1543,0.08083838646060648,0.17096140990929132,0.12589989818494893
2031,0.0848750906439098,0.23128000423512537,0.1580775474395176
144,0.13233671028335278,0.24924673311111809,0.19079172169723543
1530,0.055155730322190455,0.27083600246939,0.16299586639579022
98114,0.08900442199844294,0.20882961197606845,0.1489170169872557
512,1.3843133190451926,2.9515600200972956,2.1679366695712443
98505,0.02691550363006287,0.1397963005373488,0.08335590208370584
440,0.08052405864009284,0.2877761800788782,0.1841501193594855
348,0.05988319918365341,0.08237945349467851,0.07113132633916595
832,1.4149089013017322,1.783436514503027,1.5991727079023794
578,0.4108780833984081,0.937389445460172,0.6741337644292901
1483,0.10635977927220414,0.26457314250454067,0.1854664608883724
98404,0.13460700734960063,0.3549355038406241,0.24477125559511237
231,0.08234825039554444,0.21630298402578954,0.149325617210667
630,0.8494365089054126,1.577597005686725,1.2135167572960688
643,0.2186618302391711,0.471998511248618,0.34533017074389455
98419,0.07076277513935332,0.14198577087218867,0.10637427300577099
496,0.004201500013142939,0.16671493450119565,0.08545821725716929
98427,0.05113775902654548,0.11239843483022839,0.08176809692838694
926,0.03250114741146032,0.1099590197329289,0.07123008357219461
51,0.10154954842087392,0.29417253319066045,0.1978610408057672
1615,0.16903579991153908,0.432902095045669,0.3009689474786041
1637,0.0033076827132841073,0.18780370903888835,0.09555569587608623
384,0.30373667929742454,0.425612377521229,0.3646745284093268
1833,0.1179035214138335,0.4367655714092417,0.2773345464115376
1111,0.13053732841406782,0.3805581132240593,0.2555477208190635
585,0.7192459668557455,1.6971596625077883,1.208202814681767
2075,0.11331355676197703,0.1583457795898483,0.1358296681759127
756,0.08684134837168322,0.11334339059986397,0.10009236948577359
5501,0.01492569815804553,0.03708292877347565,0.02600431346576059
104,0.04480480300493608,0.05541915985636674,0.05011198143065141
914,0.07877367524324791,0.1598437683242776,0.11930872178376276
312,0.006238940102813345,0.18610241491202803,0.09617067750742068
320,0.13613083057285705,0.23553501963229054,0.1858329251025738
1591,0.030637593147870013,0.09856546232624391,0.06460152773705696
2071,0.1804997142843161,0.36174247311507063,0.27112109369969334
1527,0.11089602205168274,0.25473570891945063,0.18281586548556666
598,0.06605262507064945,0.19433449914561546,0.13019356210813246
98418,0.02285264582078331,0.1538340133129424,0.08834332956686286
2037,0.030862558278718477,0.4284568962797956,0.22965972727925701
1831,0.020900990964627775,0.04606909495504478,0.03348504295983628
508,0.023194814234295758,0.11076916499357578,0.06698198961393577
900,0.03889873854391027,0.12672719951353809,0.08281296902872418
116,0.029036415288719447,0.0065194456438646305,0.017777930466292037
826,0.030097658145546696,0.11440786502440806,0.07225276158497738
1517,0.11799608529030021,0.2819840907701881,0.19999008803024418
98406,0.050431346996382326,0.10041767183935993,0.07542450941787113
492,0.7733419144031891,1.3734208653493687,1.0733813898762787
704,0.025942108935954382,0.020914343014602144,0.023428225975278265
328,1.8144749803561042,0.6463985964739805,1.2304367884150422
178,0.31237838225238623,1.0625457418740647,0.6874620620632255
686,0.08645661968000723,0.15454529414484067,0.12050095691242395
520,6.506980169027736,3.938837086239624,5.22290862763368
795,0.08980685945014999,0.1430679113007744,0.1164373853754622
438,1.0924315949461778,1.711053894528024,1.4017427447371011
1556,0.056872154420451175,0.14680151324848384,0.10183683383446751
854,0.25594499731023806,0.48374317508932135,0.3698440861997797
2098,0.13861659016929406,0.3980702486251481,0.26834341939722106
380,0.006995209125942445,0.13113564617581636,0.0690654276508794
40,0.020802241484745496,0.059872980234012996,0.04033761085937925
